"sep=,"
id,firstname,lastname,birthdate,pseudo,mail,week_time_kitchen,weight,registration_date,role_id,role,total_recipe
1,Benoit,Redfish,1980-05-08T22:00:00.000Z,Splagadou,benoit@wcs.fr,5,78,2024-01-26T00:32:45.000Z,2,admin,3
2,Albin,Hodkiewicz,1962-10-08T23:00:00.000Z,Larry81,Arnold2@yahoo.com,10,65,2024-01-26T00:32:45.000Z,1,member,3
3,Joanie,Johnston,1964-11-17T23:00:00.000Z,Maude.Gislason19,Vickie36@hotmail.com,4,61,2024-01-26T00:32:45.000Z,1,member,4
4,Jarvis,Shields,1991-11-25T23:00:00.000Z,Toni.Emmerich,Destiney_Kirlin64@yahoo.com,1,59,2024-01-26T00:32:45.000Z,1,member,3
5,Terrell,Wuckert,2005-12-03T23:00:00.000Z,Hazle.Medhurst,Gloria50@hotmail.com,6,79,2024-01-26T00:32:45.000Z,1,member,4
6,Tracey,Doyle,1962-04-13T23:00:00.000Z,Wayne_Gislason84,Abner5@gmail.com,8,76,2024-01-26T00:32:45.000Z,1,member,1
7,Louie,Metz-Denesik,1991-04-08T22:00:00.000Z,Cleora.Fadel45,Neha47@gmail.com,9,48,2024-01-26T00:32:45.000Z,1,member,3
8,Kelvin,Torphy,1978-01-17T23:00:00.000Z,Stephan_Predovic95,Devon_Ledner@hotmail.com,8,74,2024-01-26T00:32:45.000Z,1,member,1
9,Americo,Rogahn,1959-06-25T23:00:00.000Z,Willie.Reichert,Adolfo_Rogahn44@gmail.com,12,60,2024-01-26T00:32:45.000Z,1,member,3
10,Enola,Runte,2000-11-19T23:00:00.000Z,Johathan.McGlynn,Zachariah_Buckridge@hotmail.com,10,73,2024-01-26T00:32:45.000Z,1,member,1
11,Earl,Wyman,2001-09-19T22:00:00.000Z,Jonatan_Hirthe,Randy32@yahoo.com,4,93,2024-01-26T00:32:45.000Z,1,member,3
12,Cassidy,Gerlach,1985-11-09T23:00:00.000Z,Rowland83,Hubert.Ryan44@gmail.com,8,79,2024-01-26T00:32:45.000Z,1,member,2
13,Angel,Grady,1962-11-26T23:00:00.000Z,Everett95,Amos_Sipes@yahoo.com,11,54,2024-01-26T00:32:45.000Z,1,member,3
14,Nash,Hayes,1977-03-18T23:00:00.000Z,Axel8,Casey_Ratke@gmail.com,2,86,2024-01-26T00:32:45.000Z,1,member,3
15,Myrtle,Haley,1997-07-26T22:00:00.000Z,Georgette_Conroy45,Gonzalo59@gmail.com,5,47,2024-01-26T00:32:45.000Z,1,member,3
16,Cooper,O'Kon,1984-12-23T23:00:00.000Z,Hubert21,Alysha44@yahoo.com,8,79,2024-01-26T00:32:45.000Z,1,member,3
17,Darrel,Bode,1998-03-25T23:00:00.000Z,Jeanie.Feil,Enrico.Rodriguez@yahoo.com,9,65,2024-01-26T00:32:45.000Z,1,member,1
18,Dax,Schmitt,1965-01-24T23:00:00.000Z,Kian_Marquardt88,Consuelo.Hammes@hotmail.com,11,41,2024-01-26T00:32:45.000Z,1,member,2
19,Stewart,Carroll,1981-06-16T22:00:00.000Z,Georgianna.Johns64,Ibrahim_Nolan@yahoo.com,1,82,2024-01-26T00:32:45.000Z,1,member,1
20,Tania,Robel,1960-06-11T23:00:00.000Z,Michel22,Karl.Prosacco@gmail.com,3,76,2024-01-26T00:32:45.000Z,1,member,3
22,toto,Toto,2020-05-11T22:00:00.000Z,Toto,toto@toto.fr,3,45,2024-02-07T14:12:55.000Z,2,admin,1
